Наименование;Запрос;URL источника;Cloudinary URL;Статус
Акконд вес. конфеты Муррлинка со вкусом клубники и сливок 1/3;Акконд конфеты Муррлинка клубника сливки;https://mail.ivicakormilica.ru/storage/products/tov18a5cda0-b9b6-11ee-7f89-4cedfb917a26.jpg;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780946174/auto/akkond-murrlinka-klubnika-slivki.jpg;привязан
Акконд вес. конфеты Молочная речка Арбузные берега 1/4;Акконд конфеты Молочная речка Арбузные берега;https://tkleg.com/img/product/big_73447a20-ca52-11ee-95ba-000c29625974.jpg;;пропущен: чистое фото 1000x461 (мин.сторона<500), остальные - баннеры с текстом
Акконд вес. конфеты Молочная речка Вишнёвые берега 1/4;Акконд конфеты Молочная речка Вишнёвые берега;https://akkond.ru/upload/iblock/cf2/8a4lo1xn9at3uzpun72sfxvmo12induj.png;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780949155/auto/akkond-mol-rechka-vishnya.webp;привязан
Акконд вес. конфеты Молочная речка Клубничные берега 1/4;Акконд Молочная речка Клубничные берега;https://akkond-online.ru/upload/iblock/8ca/hv0qj8xgfvn2s99vuj72nf1xq45eqnjo.png;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780949213/auto/akkond-mol-rechka-klubnika.webp;привязан
Акконд вес. конфеты желейные ФРУ 7 со вкусом Дыни 1/3;Акконд конфеты желейные ФРУ 7 дыня;https://basket-25.wbbasket.ru/vol4459/part445937/445937673/images/big/1.webp;;пропущен: чистые фото - карамель ФРУ7 (др. продукт), желейная версия только баннер с текстом
Акконд вес. конфеты Молочная речка Вишнёвые берега 1/4;Акконд конфеты Молочная речка Вишнёвые берега;https://akkond.ru/upload/iblock/cf2/8a4lo1xn9at3uzpun72sfxvmo12induj.png;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780949155/auto/akkond-mol-rechka-vishnya.webp;привязан
Акконд вес. конфеты желейные УМИ со вкусом Манго 1/3;Акконд конфеты желейные УМИ манго;https://basket-26.wbbasket.ru/vol4745/part474550/474550653/images/big/1.webp;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780946549/auto/akkond-umi-mango.webp;привязан
Акконд вес. конфеты МНЕ БЕЗ САХАРА молочные вафли 1/3;Акконд МНЕ БЕЗ САХАРА молочные вафли;https://image.globus.ru/web/93/00/4149300.jpg;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780949454/auto/akkond-mbs-moloko-g.jpg;привязан
Акконд вес. конфеты МНЕ БЕЗ САХАРА с какао вафли 1/3;Акконд Мне без сахара с какао вафли;https://main-cdn.sbermegamarket.ru/big2/hlr-system/-85/796/133/210/161/035/600022372496b1.png;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780949519/auto/akkond-mbs-kakao.png;привязан
Акконд вес. конфеты вафли Аккондовские с халвой 1/4;Акконд вафли Аккондовские с халвой;https://akkond-nn.ru/image/cache/catalog/vafli/stopl.mol.-950x950.jpg;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780946724/auto/akkond-vafli-halva.jpg;привязан
Акконд вес. вафли На сорбите 1/4;Акконд вафли на сорбите без сахара;;;пропущен: не найдено чёткое фото именно вафель На сорбите (выдача - Мне без сахара/др. бренды)
Акконд печ. фас. Аккондовское со сливочным вкусом 285г/12;Акконд печенье Аккондовское со сливочным вкусом 285г;https://akkond.ru/upload/iblock/211/n7kg2pbt6nlluydglpmnhbl9p4pptgf3.png;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780949677/auto/akkond-pech-akkondovskoe-slivki.webp;привязан
Акконд печ. вес. Карамелизированное 1/4;Акконд печенье Карамелизированное;https://akkond-online.ru/upload/iblock/3d7/5qj3nja2jrfd116iedk4ht3jue8bh80q.png;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780949719/auto/akkond-pech-karamelizirovannoe.webp;привязан
Акконд печ. фас. Мария 200г/16;Акконд печенье Мария 200г;https://mozaikashop.cz/wp-content/uploads/2021/01/pechenie-maria-akkond-200g.jpg;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780949779/auto/akkond-pech-mariya2.jpg;привязан
Акконд печ. вес. Вёрсты мини 1/5;Акконд печенье Вёрсты мини;https://akkond-online.ru/upload/iblock/df4/npykfivm4p2xtyi3fhx47iiexc8bh172.png;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780949820/auto/akkond-pech-versty-mini.webp;привязан
Акконд крекер фас. Крекерсы картофельный оригинальный 150г/8;Акконд Крекерсы картофельный оригинальный 150г;https://ir.ozone.ru/s3/multimedia-d/6576737905.jpg;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780949882/auto/akkond-krekersy-kartofel.jpg;привязан
Акконд крекер фас. Крекерсы со вкус.сметаны и зелени 180г/8;Акконд Крекерсы со вкусом сметаны и зелени 180г;https://s3.ibta.ru/goods/624107/867ca67b5225454dc501f2b677db1efb_xl.jpg;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780947165/auto/akkond-krekersy-smetana-zelen.jpg;привязан
Акконд крекер фас. Крекерсы с солью 180г/8;Акконд Крекерсы с солью 180г;https://s3.ibta.ru/goods/624105/d7eaae9c1130de077f880ae8eaa12197_xl.jpg;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780947223/auto/akkond-krekersy-sol.jpg;привязан
Акконд крекер фас. Мистер рыбка 300г/11;Акконд крекер Мистер рыбка;https://main-cdn.sbermegamarket.ru/big1/hlr-system/-17/749/099/041/221/024/100063940616b0.jpg;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780947279/auto/akkond-mister-rybka.jpg;привязан
